Date,Category,Likes
2023-10-29,Travel,19
2023-10-30,Family,2821
2023-10-31,Health,742
2023-11-01,Culture,1682
2023-11-02,Food,7794
2023-11-03,Culture,1892
2023-11-04,Family,9371
2023-11-05,Culture,8559
2023-11-06,Culture,7991
2023-11-07,Health,3856
2023-11-08,Travel,5640
2023-11-09,Music,4768
2023-11-10,Family,4278
2023-11-11,Travel,3917
2023-11-12,Music,2239
2023-11-13,Music,6789
2023-11-14,Culture,3701
2023-11-15,Food,8173
2023-11-16,Fitness,5106
2023-11-17,Health,164
2023-11-18,Travel,5381
2023-11-19,Health,3139
2023-11-20,Travel,3641
2023-11-21,Food,7773
2023-11-22,Food,9368
2023-11-23,Culture,4446
2023-11-24,Music,4202
2023-11-25,Music,7755
2023-11-26,Fitness,1227
2023-11-27,Music,346
2023-11-28,Travel,3781
2023-11-29,Family,4341
2023-11-30,Fitness,6362
2023-12-01,Family,4146
2023-12-02,Travel,7549
2023-12-03,Fitness,5159
2023-12-04,Health,2346
2023-12-05,Travel,8244
2023-12-06,Music,8058
2023-12-07,Travel,8877
2023-12-08,Fitness,3271
2023-12-09,Fitness,6987
2023-12-10,Health,5111
2023-12-11,Fashion,2926
2023-12-12,Culture,2597
2023-12-13,Food,5024
2023-12-14,Fashion,8064
2023-12-15,Travel,3991
2023-12-16,Health,3346
2023-12-17,Family,105
2023-12-18,Culture,3969
2023-12-19,Fashion,3811
2023-12-20,Fitness,2622
2023-12-21,Food,6972
2023-12-22,Fitness,5154
2023-12-23,Family,2338
2023-12-24,Fashion,2341
2023-12-25,Travel,7692
2023-12-26,Travel,7679
2023-12-27,Food,8706
2023-12-28,Travel,7138
2023-12-29,Fashion,1100
2023-12-30,Fashion,6520
2023-12-31,Fitness,3006
2024-01-01,Culture,7619
2024-01-02,Travel,8058
2024-01-03,Health,2704
2024-01-04,Fitness,4229
2024-01-05,Food,6977
2024-01-06,Family,6453
2024-01-07,Music,6808
2024-01-08,Travel,8472
2024-01-09,Food,3852
2024-01-10,Fitness,4379
2024-01-11,Music,9369
2024-01-12,Travel,9750
2024-01-13,Family,2905
2024-01-14,Food,9886
2024-01-15,Culture,6831
2024-01-16,Food,9213
2024-01-17,Fashion,1297
2024-01-18,Music,8514
2024-01-19,Family,3342
2024-01-20,Travel,3825
2024-01-21,Fitness,3934
2024-01-22,Health,3385
2024-01-23,Music,4959
2024-01-24,Food,2195
2024-01-25,Culture,8536
2024-01-26,Fashion,3271
2024-01-27,Music,5471
2024-01-28,Food,6043
2024-01-29,Music,9024
2024-01-30,Health,3934
2024-01-31,Fitness,26
2024-02-01,Music,5596
2024-02-02,Music,1761
2024-02-03,Fashion,6306
2024-02-04,Health,1778
2024-02-05,Travel,9956
2024-02-06,Fitness,9173
2024-02-07,Fashion,9646
2024-02-08,Music,3813
2024-02-09,Health,6496
2024-02-10,Culture,77
2024-02-11,Culture,3781
2024-02-12,Health,6405
2024-02-13,Food,7453
2024-02-14,Health,7151
2024-02-15,Food,4745
2024-02-16,Fitness,7326
2024-02-17,Travel,5996
2024-02-18,Family,8200
2024-02-19,Fashion,4699
2024-02-20,Travel,9805
2024-02-21,Travel,6525
2024-02-22,Culture,1120
2024-02-23,Family,1451
2024-02-24,Fitness,928
2024-02-25,Food,3850
2024-02-26,Fitness,3776
2024-02-27,Music,1574
2024-02-28,Fashion,6644
2024-02-29,Family,1674
2024-03-01,Fashion,5566
2024-03-02,Culture,6859
2024-03-03,Fashion,8021
2024-03-04,Family,6021
2024-03-05,Fashion,5571
2024-03-06,Music,3297
2024-03-07,Music,5166
2024-03-08,Fitness,7352
2024-03-09,Fashion,2704
2024-03-10,Fashion,9537
2024-03-11,Fashion,8928
2024-03-12,Fitness,3470
2024-03-13,Travel,9933
2024-03-14,Music,4215
2024-03-15,Culture,5531
2024-03-16,Family,6894
2024-03-17,Health,9859
2024-03-18,Fashion,2341
2024-03-19,Food,4717
2024-03-20,Travel,4723
2024-03-21,Culture,7155
2024-03-22,Music,5915
2024-03-23,Travel,2201
2024-03-24,Fashion,5418
2024-03-25,Health,7156
2024-03-26,Culture,8081
2024-03-27,Health,1479
2024-03-28,Fitness,8351
2024-03-29,Travel,6421
2024-03-30,Food,56
2024-03-31,Music,83
2024-04-01,Health,2064
2024-04-02,Fashion,9365
2024-04-03,Fitness,4976
2024-04-04,Music,8005
2024-04-05,Culture,9730
2024-04-06,Fitness,294
2024-04-07,Family,2463
2024-04-08,Family,1957
2024-04-09,Culture,3573
2024-04-10,Travel,907
2024-04-11,Fashion,227
2024-04-12,Music,8070
2024-04-13,Fitness,6055
2024-04-14,Health,9145
2024-04-15,Culture,930
2024-04-16,Food,1362
2024-04-17,Music,26
2024-04-18,Family,5844
2024-04-19,Culture,7291
2024-04-20,Family,6968
2024-04-21,Music,6431
2024-04-22,Music,311
2024-04-23,Culture,5149
2024-04-24,Fitness,6526
2024-04-25,Family,2937
2024-04-26,Food,3954
2024-04-27,Food,4233
2024-04-28,Travel,8916
2024-04-29,Health,519
2024-04-30,Food,8322
2024-05-01,Culture,88
2024-05-02,Family,2141
2024-05-03,Family,2862
2024-05-04,Music,3610
2024-05-05,Fitness,5892
2024-05-06,Food,4562
2024-05-07,Music,6058
2024-05-08,Fashion,8812
2024-05-09,Fitness,5548
2024-05-10,Family,2491
2024-05-11,Fashion,8471
2024-05-12,Music,763
